;;;;;
Date;Apple;Paypal;BlackRock;Ford;American Airlines
2017-01-27;28.831160;40.270000;338.134583;10.338505;45.369350
2017-01-30;28.755507;39.860001;338.242737;10.239177;43.388363
2017-01-31;28.689308;39.779999;337.160858;10.230900;42.760242
2017-02-01;30.438799;39.310001;336.277405;10.197790;42.566971
2017-02-02;30.386791;39.580002;335.051270;10.164680;42.528328
2017-02-03;30.516821;39.590000;340.785095;10.396448;42.711933
2017-02-06;30.802887;39.740002;340.262177;10.363338;43.774887
2017-02-07;31.096045;40.020000;339.784363;10.214345;43.649269
2017-02-08;31.216612;40.880001;337.683716;10.247454;43.542976
2017-02-09;31.442188;40.830002;341.299042;10.247454;44.840740
2017-02-10;31.370947;40.580002;345.193695;10.355060;44.986012
2017-02-13;31.648762;41.169998;347.844177;10.396448;45.915756
2017-02-14;32.059544;41.619999;347.077942;10.470943;45.102234
2017-02-15;32.175884;41.869999;354.344360;10.454391;46.041664
2017-02-16;32.137894;42.150002;353.379669;10.379891;45.489624
2017-02-17;32.225754;41.959999;350.485718;10.413003;45.431519
2017-02-21;32.458447;42.430000;351.693848;10.504054;45.334675
2017-02-22;32.555794;42.419998;352.243774;10.487501;44.860111
2017-02-23;32.418076;42.529999;352.153564;10.396448;44.647041
2017-02-24;32.448948;43.070000;350.846375;10.321951;44.821369
2017-02-27;32.513054;42.639999;352.505219;10.479222;44.860111
2017-02-28;32.527302;42.000000;349.313751;10.371616;44.898846
2017-03-01;33.192142;42.430000;358.644806;10.504054;45.605846
2017-03-02;32.995064;42.770000;355.324249;10.479222;44.279018
2017-03-03;33.189762;43.029999;353.981506;10.470943;45.344345
2017-03-06;33.085289;42.869999;351.704315;10.363338;43.881943
2017-03-07;33.128029;42.889999;349.608582;10.313674;43.426754
2017-03-08;33.004562;42.790001;348.882751;10.371616;43.475185
2017-03-09;32.928577;42.919998;348.628723;10.346782;41.964348
2017-03-10;33.037796;42.990002;348.909943;10.371616;42.516388
2017-03-13;33.052044;42.590000;349.191254;10.379891;41.034603
2017-03-14;33.002182;42.099998;347.739594;10.388170;39.911160
2017-03-15;33.351227;42.389999;352.212311;10.470943;40.763432
2017-03-16;33.405842;42.400002;353.827301;10.512331;40.802177
2017-03-17;33.239635;43.080002;347.340485;10.330228;40.405098
2017-03-20;33.588676;43.160000;345.163086;10.164680;40.385719
2017-03-21;33.204002;42.639999;340.363678;9.701144;39.146065
2017-03-22;33.579170;43.189999;340.644928;9.742534;39.078270
2017-03-23;33.460449;43.139999;340.581451;9.659759;40.104866
2017-03-24;33.393963;43.130001;339.683319;9.618369;40.414783
2017-03-27;33.450958;43.080002;340.218536;9.485932;40.424458
2017-03-28;34.144287;43.150002;345.326324;9.643203;41.257359
2017-03-29;34.220264;43.240002;344.219482;9.668035;40.637531
2017-03-30;34.175156;43.540001;347.512848;9.668035;41.199245
2017-03-31;34.111042;43.020000;347.939209;9.634925;40.966808
2017-04-03;34.120541;42.630001;346.650909;9.469376;41.112087
2017-04-04;34.374607;42.720001;345.480560;9.411435;39.610931
2017-04-05;34.196522;42.889999;345.580322;9.320382;40.008007
2017-04-06;34.111042;42.900002;348.474487;9.328660;40.405098
2017-04-07;34.035061;43.040001;350.216492;9.295550;40.492260
2017-04-10;33.994701;43.049999;350.098480;9.312105;40.986187
2017-04-11;33.629044;42.689999;348.429138;9.336938;42.545441
2017-04-12;33.669403;42.490002;346.061249;9.295550;42.574493
2017-04-13;33.491325;42.549999;343.847565;9.196221;41.983711
2017-04-17;33.676521;43.099998;348.202332;9.336938;42.835983
2017-04-18;33.526943;43.090000;348.029938;9.345326;42.429218
2017-04-19;33.403461;43.299999;342.123718;9.387270;43.000629
2017-04-20;33.821369;43.689999;346.197327;9.622163;43.794785
2017-04-21;33.780998;43.810001;342.994720;9.513107;43.727001
2017-04-24;34.106297;44.270000;350.787994;9.588609;44.976322
2017-04-25;34.317619;44.709999;352.185150;9.630551;45.140968
2017-04-26;34.115788;44.410000;352.802094;9.731221;44.937592
2017-04-27;34.141903;47.150002;354.471436;9.622163;42.593857
2017-04-28;34.108673;47.720001;348.900940;9.622163;41.276730
2017-05-01;34.804371;47.540001;347.476563;9.580219;40.753746
2017-05-02;35.025200;49.049999;348.837433;9.160768;42.487331
2017-05-03;34.918350;49.020000;348.646942;9.286604;42.535751
2017-05-04;34.792503;48.910000;347.757782;9.227880;42.526070
2017-05-05;35.369492;49.299999;348.166046;9.345326;43.107159
2017-05-08;36.331139;49.169998;346.914093;9.336938;43.523609
2017-05-09;36.563831;49.220001;345.208466;9.362105;45.596161
2017-05-10;36.390495;49.790001;346.814209;9.261436;45.809223
2017-05-11;36.705208;49.700001;347.358582;9.236269;45.073174
2017-05-12;37.217823;49.369999;349.399933;9.160768;44.481129
2017-05-15;37.122452;49.770000;353.246613;9.177547;45.306114
2017-05-16;37.067619;50.340000;355.006683;9.177547;45.558460
2017-05-17;35.823048;49.049999;348.084442;9.026546;43.597912
2017-05-18;36.369038;49.110001;352.448364;9.051711;43.335861
2017-05-19;36.493019;49.389999;356.839325;9.118823;43.889088
2017-05-22;36.714752;49.770000;359.524780;9.311771;44.849945
2017-05-23;36.669449;50.130001;359.243591;9.269825;45.286705
2017-05-24;36.559772;51.049999;359.552002;9.194325;45.393459
2017-05-25;36.686138;50.930000;368.669922;9.110435;46.606678
2017-05-26;36.624149;51.189999;369.268677;9.169157;47.305489
2017-05-30;36.638451;51.060001;369.087250;9.294994;46.548439
2017-05-31;36.421490;52.209999;371.282745;9.328549;46.985199
2017-06-01;36.521626;53.160000;377.343872;9.571828;47.606354
2017-06-02;37.062847;53.520000;378.557953;9.521495;48.062527
2017-06-05;36.700447;53.799999;378.110718;9.437607;48.276051
2017-06-06;36.824417;53.400002;377.754639;9.328549;48.276051
2017-06-07;37.043770;53.849998;377.727356;9.286604;49.363087
2017-06-08;36.953171;54.389999;379.032593;9.311771;49.916313
2017-06-09;35.520245;53.400002;382.017548;9.336938;48.790455
2017-06-12;34.671463;52.160000;381.844116;9.462772;48.023705
2017-06-13;34.950420;52.060001;382.756989;9.454384;47.994587
2017-06-14;34.609474;51.900002;384.746918;9.412437;47.936352
2017-06-15;34.402042;52.290001;385.550262;9.429215;47.664589
2017-06-16;33.920437;51.840000;383.852386;9.412437;47.354012
2017-06-19;34.890816;52.930000;391.036285;9.429215;48.198406
2017-06-20;34.573723;52.520000;387.667969;9.328549;46.616383
2017-06-21;34.778755;53.540001;384.062256;9.261436;47.004604
2017-06-22;34.721539;53.869999;386.280457;9.336938;47.528717
2017-06-23;34.876507;54.330002;384.865540;9.261436;47.198723
2017-06-26;34.766838;53.740002;387.667969;9.378882;47.344303
2017-06-27;34.268524;52.730000;385.331116;9.294994;47.072544
2017-06-28;34.769218;54.389999;389.639679;9.303380;47.800472
2017-06-29;34.256607;53.419998;386.344360;9.370494;48.159576
2017-06-30;34.337669;53.669998;385.586731;9.387270;48.838978
2017-07-03;34.213696;52.869999;391.437958;9.697664;48.906921
2017-07-05;34.354362;54.610001;391.392303;9.479552;49.751308
2017-07-06;34.030106;53.470001;388.124451;9.378882;50.518059
2017-07-07;34.375809;53.970001;394.687622;9.445995;51.469219
2017-07-10;34.585625;54.939999;398.211060;9.513107;51.110115
2017-07-11;34.697689;54.759998;394.258575;9.546661;50.091011
2017-07-12;34.747765;56.549999;397.343933;9.622163;52.216557
2017-07-13;35.231762;57.900002;399.708130;9.731221;52.226265
2017-07-14;35.534557;57.160000;400.128082;9.798333;52.624199
2017-07-17;35.658535;57.580002;387.613220;9.848665;52.284500
2017-07-18;35.782524;58.959999;389.667053;9.857055;51.585693
2017-07-19;36.006630;58.349998;389.283691;9.924166;51.061573
2017-07-20;35.844505;59.090000;390.032196;9.941157;50.799526
2017-07-21;35.827812;58.669998;391.282745;9.796715;50.382187
2017-07-24;36.261749;58.580002;390.981598;9.592794;49.770721
2017-07-25;36.416725;58.259998;393.747375;9.575801;49.120449
2017-07-26;36.588387;58.790001;394.988800;9.397369;49.508671
2017-07-27;35.896961;60.150002;388.416504;9.499331;48.528400
2017-07-28;35.644234;59.200001;387.038086;9.490834;49.003983
2017-07-31;35.460644;58.549999;389.347565;9.533318;48.955448
2017-08-01;35.775372;59.340000;392.496826;9.303906;49.557205
2017-08-02;37.465775;59.119999;388.453003;9.346388;48.965160
2017-08-03;37.091457;58.419998;388.872925;9.286912;49.062214
2017-08-04;37.286964;58.860001;389.329315;9.303906;49.304852
2017-08-07;37.863949;59.619999;390.570770;9.278414;49.091331
2017-08-08;38.166752;59.480000;391.437958;9.252925;48.528400
2017-08-09;38.400398;59.669998;393.738251;9.278414;47.946056
2017-08-10;37.177273;58.020000;385.842377;9.150965;47.216652
2017-08-11;37.694294;58.040001;387.184174;9.150965;47.022144
2017-08-14;38.261570;59.060001;390.744202;9.269919;47.469509
2017-08-15;38.680450;59.689999;390.917664;9.210443;47.187477
2017-08-16;38.524868;60.290001;389.840515;9.176455;47.080505
2017-08-17;37.785248;59.290001;383.332031;9.040507;44.765862
2017-08-18;37.699078;59.439999;380.237610;8.972536;44.299046
2017-08-21;37.629669;59.400002;379.160492;8.981031;44.454647
2017-08-22;38.244816;60.840000;384.637421;9.049005;44.162891
2017-08-23;38.292686;60.049999;381.625061;9.099985;42.762440
2017-08-24;38.122749;60.000000;379.680756;9.099985;41.741268
2017-08-25;38.263977;59.970001;380.073242;9.193448;44.007286
2017-08-28;38.649326;60.529999;378.220215;9.167959;43.715527
2017-08-29;38.994011;61.009998;378.028534;9.210443;43.336231
2017-08-30;39.099335;61.770000;379.918060;9.295408;43.102821
2017-08-31;39.254917;61.680000;384.794525;9.371881;43.511295
2017-09-01;39.266884;61.459999;387.338257;9.643774;44.065636
2017-09-05;38.795345;61.270000;379.872162;9.652271;42.713814
2017-09-06;38.754650;61.240002;378.531403;9.771225;43.093102
2017-09-07;38.599068;62.000000;380.423187;9.686256;42.636009
2017-09-08;37.969559;61.130001;381.984375;9.652271;42.402599
2017-09-11;38.656517;62.639999;389.413696;9.694755;44.600533
2017-09-12;38.503326;62.560001;393.573792;9.847696;45.018723
2017-09-13;38.213703;62.040001;390.772888;9.873184;45.709225
2017-09-14;37.885780;62.240002;390.929016;9.822205;44.921474
2017-09-15;38.268757;62.500000;393.711609;9.873184;44.736687
2017-09-18;37.979126;62.919998;394.372772;9.881683;44.065636
2017-09-19;37.993488;63.830002;397.081909;9.958153;43.161186
